Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,53,2.5640506302218515,52
55,142,0.5626949593933149,138
54,76,0.4666749298070587,56
53,37,0.24930830724984787,30
52,25,2.9937888157447667,22
51,122,0.9584380593532797,119
50,85,1.013122232303088,21
49,145,3.56884186833424,3
48,149,1.0650378807880736,14
47,215,,
46,171,24.190782992982555,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,22,,
35,9,,
34,12,0.2751423085343081,3
33,17,0.5654580660096067,1
32,10,0.7357765290278833,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
