Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,51,2.6750000974,50
55,149,5.596134393426573,143
54,72,5.482620450087718,57
53,33,5.779152028333332,27
52,31,7.722284707599999,25
51,113,,
50,93,3.4974279460231155,23
49,142,8.040568661092736,2
48,150,4.377579532775311,14
47,215,,
46,171,24.14611814158397,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,7.864723801844506,24
35,7,,
34,12,6.16581587187149,3
33,17,1.424906441837418,1
32,10,5.7051940233586595,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
