Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,54,3.2126240626923077,52
55,143,5.588829800719424,139
54,76,5.493727265175438,57
53,35,5.737112676620688,29
52,27,8.01034686876087,23
51,115,6.179777736680987,113
50,93,5.7736455060040965,23
49,142,7.976228772244648,2
48,150,6.392746641649929,14
47,215,,
46,171,32.68686627499523,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,6.352099130946768,7
36,27,,
35,4,,
34,11,5.122800487995169,2
33,17,,
32,13,5.792864064200782,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
