Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,,
55,150,0.0031110199785874125,143
54,74,0.0023607382858576273,59
53,31,0.0007651693488888891,27
52,27,0.0011416670840380953,21
51,112,0.0008907641984148148,108
50,90,0.06430430497585142,70
49,139,0.025265528902615384,104
48,154,0.015884882277268673,113
47,206,0.018014269706737345,131
46,180,0.010737145124545457,22
45,48,0.058892408896128,10
44,1343,0.08848080068,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,7,0.0007932437921456639,4
36,29,,
35,2,,
34,13,0.0035699962093192527,12
33,14,0.017728409309119623,12
32,15,0.023075489477367046,9
31,55,0.008726577156304757,26
30,6,0.01881592013896744,5
29,8,0.004345666430000008,2
28,5,0.10847048433999999,2
27,12,0.08661876093894398,5
26,6,0.06972963049399375,4
25,66,0.09106602929106579,46
24,2,,
23,3,,
19,1,,
16,1,,
