Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,,
55,152,0.0055013076558946715,145
54,72,0.004083549204213901,59
53,33,0.002852168251275652,29
52,24,0.0022528693846442806,20
51,120,0.0021480910111399644,115
50,85,0.07603332897451792,72
49,131,0.058956154831386214,98
48,157,0.04367546569046525,110
47,205,0.05988359432061593,127
46,188,0.029000720120498976,26
45,44,0.12262415535396086,10
44,1343,0.21751472248015463,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.027557736399106303,5
36,28,,
35,3,,
34,10,,
33,17,0.09968379307285577,13
32,14,0.0671560300711836,9
31,53,0.04004042646025954,24
30,8,0.05230417784886392,5
29,8,0.1157609778,2
28,5,0.2581993823291947,2
27,12,0.1292468363226131,5
26,6,0.09074944171458899,4
25,62,0.14961116295164784,42
24,6,,
23,3,,
19,1,,
16,1,,
