Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,50,,
55,145,0.009375895737940494,139
54,77,0.035474930913004354,58
53,33,0.008548502426044925,28
52,27,0.009092230536566758,22
51,115,0.03610144458125601,112
50,88,1.1675222027172538,72
49,138,8069235.22685522,105
48,145,15434838.669675233,105
47,218,36953146.19422203,135
46,180,18515508.90577879,26
45,42,12035081.057945896,8
44,1345,19256129.658676118,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.12134306050793756,1
37,6,0.06025497295669596,4
36,29,,
35,3,,
34,12,,
33,15,1385599.8847033158,13
32,13,2414098.9577764515,8
31,53,10906810.123670213,23
30,9,11578899.726150472,5
29,8,19256162.436072752,2
28,5,9628363.072889138,2
27,12,15444210.025476709,5
26,7,3853732.4760984783,5
25,62,3148.648797996931,43
24,5,,
23,3,,
19,1,,
16,1,,
