Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,,
55,147,0.012004590219948855,140
54,74,0.009528314823464976,56
53,39,0.005955365574624862,32
52,19,0.010019511045355482,18
51,121,0.006069552280609462,114
50,82,0.04371267964046085,68
49,146,0.019364246875597936,109
48,141,0.01271292569459888,105
47,213,0.011244947436463617,130
46,187,0.008149598352308919,28
45,41,0.040221163730859516,9
44,1344,0.04215135054457336,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.006802567679429489,4
36,29,,
35,3,,
34,11,,
33,18,0.02283931589078949,15
32,12,0.01950254093820751,9
31,53,0.01563958711483332,24
30,8,0.016465033406712824,5
29,8,0.04585711325767208,2
28,4,0.056785116257187684,1
27,14,0.06734539567082146,6
26,6,0.11595563633785425,5
25,61,0.0650463502822547,42
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
