Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,47,0.005095725752179744,46
55,156,0.0030584461555969488,146
54,68,0.0016995640003313731,56
53,33,0.0020101448626174035,26
52,31,0.0011061734353166714,24
51,111,0.0010563011493853291,110
50,88,0.03233117710319289,70
49,137,0.018614250895887526,102
48,154,0.010311923319943251,111
47,211,0.013798925123320446,134
46,178,0.009180180167589501,23
45,45,0.0400476550608611,8
44,1345,0.05195850008536265,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.005648134767520846,4
36,29,,
35,3,,
34,12,,
33,15,0.011317836734635742,13
32,13,0.007018853179751624,8
31,53,0.013143974422466813,23
30,9,0.022277278932122443,5
29,9,0.03657849691150167,3
28,4,0.10299819853648827,2
27,13,0.09042246456511388,6
26,5,0.13492674919821324,4
25,66,0.07144045503288239,46
24,2,,
23,3,,
19,1,,
16,1,,
