Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,50,,
55,146,0.012807496615285715,140
54,74,0.012753183721964283,56
53,37,0.015999163924333332,30
52,24,0.015586802669285712,21
51,117,0.015880835473584067,113
50,82,0.07732222112022388,67
49,139,0.03850765239221544,101
48,155,0.04644599801008542,111
47,210,0.04488533356902568,133
46,181,0.04267066547666977,25
45,43,0.0650348773628805,8
44,1345,0.09226727055383055,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.026135067808985977,5
36,28,,
35,3,,
34,13,,
33,16,0.03565550835783143,15
32,11,0.022393127919317145,8
31,54,0.02793571282218206,24
30,8,0.03133574868801829,5
29,9,0.02878169463422249,3
28,4,0.11094581549139734,2
27,13,0.11247039746289157,6
26,5,0.03131899602662472,4
25,61,0.06561747549558918,41
24,7,,
23,3,,
19,1,,
16,1,,
