Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,,
55,141,0.014100186855223882,134
54,79,0.05955635366930981,55
53,35,0.060959660724700264,27
52,26,0.06005535901957348,20
51,124,0.06010227847168788,119
50,79,0.06323768194268438,70
49,138,0.05078315840389653,103
48,157,0.03975345624582466,115
47,206,0.03588908872367173,133
46,180,0.04195843031582804,24
45,45,0.04819851526493518,9
44,1344,0.0816743673396497,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.04006046400592844,5
36,28,,
35,2,,
34,12,0.05351396042198739,11
33,17,0.028908908397584417,14
32,12,0.03728559435174992,8
31,56,0.03553344466110455,26
30,6,0.04696780747819161,5
29,9,0.054543110733480143,3
28,4,0.10331034460848776,2
27,11,0.11489299464983047,4
26,8,0.05468058828710927,5
25,60,0.07304206757506493,41
24,7,,
23,3,,
19,1,,
16,1,,
