Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,53,,
55,144,0.14368484848484847,132
54,79,0.10808888888888889,45
53,29,0.1699142857142857,14
52,29,0.10836363636363637,11
51,120,0.25923870967741935,31
50,85,0.26216666666666666,6
49,141,0.11,22
48,151,0.17608,25
47,212,0.18163500000000002,60
46,161,0.23148878504672898,107
45,55,0.3065714285714286,14
44,1344,0.23666666666666666,3
43,11,0.1975,8
42,601,0.3051566666666667,600
41,78,,
40,1,,
39,3,,
38,1,,
37,7,0.22999999999999998,1
36,28,,
35,3,,
34,13,,
33,16,0.08,1
32,12,0.016999999999999904,1
31,56,,
30,5,,
29,8,0.2414,5
28,5,0.10999999999999993,2
27,13,0.12150000000000001,2
26,6,,
25,67,0.306375,16
23,3,,
19,1,,
16,1,,
