Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,46,,
55,154,0.21517822222222222,135
54,71,0.21764550000000002,40
53,37,0.20295552941176467,17
52,25,0.15543079999999998,10
51,123,0.24447098181818183,33
50,84,0.1761085714285714,7
49,139,0.1879746819047619,21
48,151,0.19860248192000002,24
47,211,0.16312973826206897,58
46,169,0.11494232401874692,113
45,47,0.2400319652736,12
44,1346,0.12125728000000004,3
43,11,0.3276136291456,8
42,606,0.2671069724146602,605
41,73,,
40,1,,
39,2,,
38,2,0.555124,1
37,7,0.2599039999999999,1
36,28,,
35,3,,
34,13,,
33,16,0.4147799999999999,1
32,12,0.35717999999999994,1
31,56,,
30,5,,
29,9,0.2982321983999999,6
28,4,0.2555463776,2
27,13,0.2523017087999999,2
26,6,,
25,66,0.17009353079466666,15
24,1,,
23,3,,
19,1,,
16,1,,
