Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,46,,
55,152,0.21147184788895315,133
54,75,0.18778187621202327,42
53,35,0.22587920436809472,17
52,25,0.18211382347421037,10
51,121,0.21917572933819354,31
50,87,0.1978989396398218,8
49,141,0.16635251687921754,24
48,148,0.1547581674343019,24
47,210,0.16519766343113756,57
46,167,0.07899575660033178,110
45,51,0.18051293515050817,13
44,1344,0.07,2
43,12,0.30813156055542423,8
42,611,0.2614779148884031,610
41,68,,
40,1,,
39,3,,
38,1,,
37,7,0.14805686879023494,1
36,28,,
35,3,,
34,13,,
33,16,0.41801215212796067,1
32,12,0.3891118502903507,1
31,56,,
30,5,,
29,7,0.3080031694703026,4
28,4,,
27,15,0.027646167825016776,2
26,6,,
25,66,0.16454341114477983,15
24,1,,
23,3,,
19,1,,
16,1,,
