Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
58,64,,
57,165,0.4249842103203465,149
56,95,0.4504152644781728,56
55,51,0.2900720528105895,27
54,38,0.27104250953358133,16
53,151,0.24129206157055422,39
52,146,5031663.691158966,10
51,213,0.5804223146651563,24
50,204,0.2375728667921447,28
49,261,0.23409518992925624,59
48,181,0.21335833925451023,113
47,62,0.2544051974555516,18
46,1374,0.17682246019190337,3
45,12,0.26740507853942114,7
44,609,0.25329335308471174,606
43,73,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,0.5936898018831778,1
38.0,32.0,,
37,3,,
36,17,1.5959551863898842,1
35,22,0.24829275820388186,1
34,14,0.5991045664625163,1
33,62,,
32,7,,
31,16,0.8529889971144413,6
30,11,0.4467190987107421,2
29,17,1.3805285380624146,1
28,13,,
27,83,1.906040578054381,16
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
