Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,53,,
55,146,0.23466863922360268,134
54,72,0.16963838714494808,40
53,37,0.08459704379992303,17
52,26,0.23413495551018712,11
51,121,0.29138055724672646,32
50,87,0.3325622019241568,9
49,140,0.38115836915791185,24
48,145,0.2981026496324439,21
47,214,0.2775589141797214,58
46,164,0.18516176908957407,108
45,54,0.2469815498204554,14
44,1344,0.04406511795066087,3
43,11,0.1978065358011128,8
42,602,0.25339243947154927,601
41,77,,
40,1,,
39,3,,
38,1,,
37,7,0.15875333284087167,1
36,28,,
35,3,,
34,13,,
33,16,0.27495890546534785,1
32,12,0.07506002013619173,1
31,56,,
30,5,,
29,8,0.17997862619596994,5
28,5,0.41920495687843884,2
27,13,0.0723050618264936,2
26,6,,
25,65,0.2777894597649762,14
24,2,,
23,3,,
19,1,,
16,1,,
