Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,47,,
55,149,0.2209745817660151,131
54,77,0.1930153557639091,42
53,37,0.20734263816175819,19
52,24,0.17708992011592545,11
51,124,0.2002687082396794,35
50,84,0.17189913116869188,9
49,139,0.16638969326717765,23
48,150,0.1629230260706184,25
47,210,0.17617354020877443,58
46,161,0.08992594549540918,105
45,57,0.19873885978930075,14
44,1344,0.12965673814845122,3
43,9,0.27605628060288445,6
42,608,0.2523577461137389,605
41,73,,
40,1,,
39,2,,
38,2,0.35378667081355375,1
37,7,0.19494127600063288,1
36,28,,
35,3,,
34,13,,
33,16,0.41067748981659447,1
32,12,0.13781064296783507,1
31,56,,
30,5,,
29,7,0.1784647507356666,4
28,6,0.32506581671721124,2
27,13,0.028597212743097705,2
26,6,,
25,67,0.1536322166208713,16
23,3,,
19,1,,
16,1,,
