Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,51,,
55,149,0.2033803452785768,135
54,74,0.19294075705874075,43
53,36,0.1732403329521775,19
52,22,0.21422247517854326,9
51,124,0.23375350136033285,33
50,85,0.17790862158170692,8
49,137,0.23642614590661293,20
48,153,0.2153350076413183,25
47,213,0.18093085677103607,61
46,159,0.10055244439308592,106
45,54,0.25421739791247694,12
44,1346,0.07964489770150988,3
43,11,0.28848120688476303,8
42,600,0.2578999982891531,599
41,79,,
40,1,,
39,3,,
38,1,,
37,7,0.17392773576101583,1
36,28,,
35,3,,
34,13,,
33,16,0.2888542832313105,1
32,12,0.004426224848215976,1
31,56,,
30,5,,
29,9,0.18040504149014552,6
28,4,0.38014223585339735,2
27,13,0.05731227962973967,2
26,6,,
25,65,0.14676485491817542,14
24,2,,
23,3,,
19,1,,
16,1,,
