Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,49,,
55,152,0.2154019411122003,136
54,73,0.2123655415096794,43
53,33,0.18886742111028818,16
52,25,0.23014872411916057,9
51,126,0.2020880286945328,35
50,83,0.2006802300521831,8
49,139,0.19123256244986442,22
48,147,0.16467188677089983,21
47,215,0.18223882773548697,59
46,162,0.09582808879062439,107
45,54,0.21157994275977324,13
44,1344,0.06993070029456777,2
43,11,0.31508596097629876,7
42,610,0.25596372526134087,608
41,70,,
40,1,,
39,3,,
38,1,,
37,7,0.16756411438266078,1
36,28,,
35,3,,
34,13,,
33,16,0.3817534167287324,1
32,12,0.24404699319998724,1
31,56,,
30,5,,
29,8,0.29397124209210834,5
28,5,0.4729867851774546,2
27,11,,
26,8,,
25,65,0.13110959116226165,14
24,2,,
23,3,,
19,1,,
16,1,,
