Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,53,,
55,145,1.1485774647887308,142
54,73,1.0580925925925926,54
53,35,0.9973076923076893,26
52,28,1.0175789473684234,19
51,120,1.785847058823528,85
50,85,5.526714285714286,21
49,145,0.7976363636363641,33
48,146,0.7340357142857111,28
47,209,0.3647857142857108,42
46,177,2.2494999999999994,20
45,42,0.7161818181818208,11
44,1333,0.8883617021276574,47
43,23,0.27233333333333104,9
42,675,,
41,3,,
40,2,0.5600000000000023,1
39,2,,
38,2,1.1399999999999864,1
37,7,0.7463999999999942,5
36,28,,
35,3,,
34,10,10.829999999999998,6
33,19,0.0899999999999892,1
32,12,3.300000000000002,3
31,55,39.84499999999999,1
30,6,20.70499999999999,2
29,9,19.105000000000008,2
28,3,,
27,14,10.800000000000004,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
