Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,52,1.5697254901960804,51
55,154,1.380159731543623,149
54,65,1.4254113207547154,53
53,36,1.2919969230769237,26
52,26,1.0998894117647078,17
51,113,1.929462105263157,76
50,96,5.713535999999999,23
49,138,1.2673407428571468,28
48,149,0.9728313723076973,26
47,215,0.7501329600000011,46
46,173,2.214285696000002,20
45,42,0.9305201093818195,11
44,1338,0.9422450560492291,52
43,18,0.8520701991594721,9
42,675,,
41,4,,
40,1,,
39,2,,
38,2,1.548400000000015,1
37,7,1.0710488769536028,5
36,28,,
35,3,,
34,13,15.959344115199993,9
33,15,,
32,13,3.359500330666672,3
31,56,36.85348156159998,2
30,5,17.367483061760005,2
29,9,20.23532424960001,2
28,3,,
27,14,25.898866700799964,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
