Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,50,,
55,144,1.7246599378881988,138
54,79,1.9986037117346953,56
53,33,2.0943032739572254,26
52,26,1.8728132678304978,17
51,115,2.117272492406156,78
50,92,6.254697887480293,21
49,143,2.4237448588753545,31
48,149,1.913268986664558,29
47,211,1.7763285908173998,45
46,175,1.8209548761285856,21
45,42,1.5431591780076974,12
44,1339,1.3434056044778993,54
43,15,2.03007841891165,8
42,676,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,1.7799078117806715,5
36,28,,
35,2,,
34,13,18.42626727146781,8
33,17,2.7151636370527115,1
32,11,1.8050000000000068,2
31,57,35.696179574046916,2
30,5,20.605000000000004,2
29,9,19.749999999999996,2
28,4,,
27,13,35.13469882583498,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
