Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,51,2.103549204557713,50
55,150,1.8923803497409788,144
54,74,21.85045675448948,57
53,34,8.332904304395369,28
52,24,3.9773046975127566,17
51,113,2.481966502516656,76
50,93,1839228630.98285,20
49,143,159.17497702905203,30
48,149,1076.4841790809367,28
47,212,524.4590361651941,45
46,175,293.99548390032624,21
45,41,277.63471257539214,11
44,1339,19.109118035721224,53
43,17,172.43014599387413,9
42,675,,
41,3,,
40,1,,
39,4,76.8219199743614,3
38,1,,
37,5,159.75086828638166,3
36,30,,
35,3,,
34,13,162.26326156462656,9
33,16,212.77868635387125,1
32,12,114.81926817051048,3
31,56,167.43610800899864,2
30,4,104.5729027672767,1
29,10,45.33058624004206,2
28,4,,
27,13,26.365401030721365,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
