Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,45,,
55,149,12.731493480351249,138
54,76,19.523372169012546,53
53,37,5.689989100601182,27
52,27,3.694471133163381,19
51,116,3.694137146766272,81
50,90,7.117576800940415,22
49,142,3.8784827770335846,31
48,149,5.420854862918642,29
47,215,3.4697063088634814,49
46,171,4.00608323476126,21
45,43,2.16314784222501,13
44,1337,3.1697158872415496,53
43,14,3.0070962241497767,6
42,678,,
41,4,,
40,1,,
39,2,,
38,2,5.036284372002555,1
37,7,4.2176317243418655,5
36,28,,
35,3,,
34,11,18.909094668211303,7
33,18,4.779350664962934,1
32,12,9.214124428606945,3
31,56,33.21601944618543,2
30,5,14.658726191597104,2
29,9,11.444115116506541,2
28,3,,
27,14,11.383983203822837,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
