Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,50,,
55,144,0.8132015065881432,138
54,77,0.8107351824201061,54
53,35,1.0662726105519504,26
52,28,0.881789556711324,19
51,118,1.6270554713711458,83
50,89,1.8900728259172006,23
49,139,1.0633648860684835,29
48,150,0.8276141180268434,28
47,212,0.6730104164365157,45
46,172,2.4475049203045076,18
45,44,0.9749335768597263,11
44,1341,0.805978659208542,55
43,14,0.9629363069948678,8
42,676,,
41,4,,
40,1,,
39,2,,
38,2,1.949060921911368,1
37,5,1.7897132035498895,3
36,30,,
35,3,,
34,12,18.758559135474123,8
33,17,1.1689555444956454,1
32,12,2.595753017821906,3
31,56,37.7213328715638,2
30,5,16.23510283163653,2
29,9,19.028342784883915,2
28,4,,
27,13,16.744202827701947,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
