Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,52,,
55,140,1.983286764705883,136
54,74,3.5602448979591754,49
53,39,3.206760000000001,25
52,29,3.4425263157894723,19
51,116,3.14158024691358,81
50,90,7.247227272727274,22
49,142,1.4914929163410096,31
48,148,1.9794072244281362,28
47,215,2.397961760456097,48
46,168,4.248563726190256,17
45,46,4.362724077277424,12
44,1343,3.1682234574023913,58
43,12,3.7736018327711665,9
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,4.194791818430918,4
36,29,,
35,3,,
34,11,12.570150019255394,7
33,18,3.80534619799478,1
32,11,5.350211877802636,2
31,57,33.15895154219309,2
30,5,12.682957862292021,2
29,9,25.069663250582327,2
28,4,,
27,13,20.96243558790666,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
