Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,50,2.098836734693878,49
55,146,2.0079712230215843,139
54,74,3.3071153846153862,52
53,36,3.378260000000002,25
52,26,2.791312499999999,16
51,122,3.0149642857142855,84
50,87,7.120090909090911,22
49,141,6.193725715281179,30
48,147,5.991172411413896,26
47,218,6.1663623062426325,49
46,170,7.692221315684902,20
45,43,5.971662781972561,12
44,1341,4.801679120939084,56
43,12,5.8931069326017536,7
42,677,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,4.627593171754643,5
36,28,,
35,2,,
34,13,14.213403897733844,8
33,17,1.499423898438721,1
32,12,3.70291102414771,3
31,55,34.52405453696547,1
30,6,18.45518062261985,2
29,9,21.178250684856057,2
28,4,,
27,13,9.146677642270681,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
