Iteration,SampleCount,P_MASS,P_MASS_Weight
56,51,437.8077576924,50
55,150,39.92160306534722,144
54,70,8.123116475,56
53,36,9.808500709310346,29
52,27,5.911877669565207,23
51,115,22.32511007345132,113
50,85,116.20490129857143,70
49,137,74.16500182969608,102
48,151,16.573494675000003,108
47,214,48.87158021298506,134
46,178,8.11017609583334,24
45,46,18.47628550000002,9
44,1344,16.844884999999863,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,97.67914333333333,3
34,13,,
33,14,,
32,13,1.7077958055555635,9
31,57,1.8874280370370355,27
30,5,,
29,9,169.54156399999968,3
28,3,1.4210854715202004e-14,1
27,12,5.712944999999948,4
26,7,0.9812939749999987,4
25,60,14.995522699249989,40
24,8,,
23,3,,
19,1,,
16,1,,
