Iteration,SampleCount,P_MASS,P_MASS_Weight
56,54,246.57709952430562,52
55,149,261.28955241965565,145
54,67,239.25794090923364,54
53,37,47.81987636539328,28
52,26,239.7812889410854,21
51,115,155.12349957167135,111
50,90,978.1403211311439,73
49,132,2474.6254020774045,100
48,149,135859.0332766888,104
47,222,64532800691.61101,138
46,178,251721101.37013015,28
45,43,589156049.8567644,10
44,1342,97425599.4940998,1
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,,
36,28,18024401.256291322,26
35,5,15293513.885809101,3
34,12,,
33,15,34287350.00026128,14
32,14,32589442.235092565,10
31,52,61061716.0346263,23
30,9,33822656.60875708,5
29,9,55488076.558988936,3
28,4,43053728.470997125,2
27,13,45993236.96288077,6
26,5,31542943.05358279,4
25,64,15103366.724497123,44
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
