Iteration,SampleCount,P_MASS,P_MASS_Weight
56,52,,
55,147,98.84932171810945,143
54,70,61.92834551660195,55
53,40,81.28704409343719,32
52,23,91.25298668579698,22
51,113,52.693034764077,110
50,87,454.4434862517356,69
49,136,309.8658527920165,100
48,150,187.8023522763943,105
47,220,214.79758645401185,137
46,177,100.10109693443162,26
45,44,272.8141322174122,9
44,1344,139.89030397231446,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,217.15433505236697,3
34,11,,
33,15,296.64051740834043,13
32,14,171.87154362693457,9
31,55,99.7930527102287,25
30,6,447.2136889135102,4
29,9,617.6733333746367,2
28,5,729.1268957423667,2
27,13,738.7663077031594,6
26,6,303.02545638770084,5
25,62,386.4569910393105,43
24,5,,
23,3,,
19,1,,
16,1,,
