Iteration,SampleCount,P_MASS,P_MASS_Weight
56,55,382.55343661830193,53
55,148,484.8731166716245,145
54,66,510.31883151500045,53
53,42,509.6237060699055,32
52,26,452.77674304428814,25
51,116,,
50,82,604.7848297138281,70
49,143,555.6542349616808,108
48,145,464.64085689153234,108
47,208,433.71862892514963,128
46,182,564.2378915612027,22
45,48,464.08572331447476,9
44,1344,444.0233693002324,2
43,11,,
42,675,,
41,4,,
39,3,523.6343486521314,2
38,2,379.72798844659144,1
37,7,,
36,19,,
35,11,229.5920014218279,2
34,13,490.15787519259686,12
33,17,470.8699284168883,16
32,9,403.9088812288446,7
31,54,502.7911607662301,22
30,10,396.09154779845653,5
29,9,875.3748853560277,3
28,4,1010.0415395506354,2
27,12,1007.0865176292594,5
26,7,715.4608827126555,5
25,66,584.5230218868885,47
24,1,,
23,3,,
19,1,,
16,1,,
