Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,49,,
55,150,26.85575479335664,143
54,72,11.519759271929827,57
53,36,3.4405947080000012,30
52,25,11.036289731818174,22
51,114,25.066234236936936,111
50,89,74.472874936,75
49,137,72.9389068120077,130
48,142,47.6842402823077,130
47,210,34.49217921361257,191
46,175,32.96366221682119,151
45,56,66.68695606027777,36
44,1224,12.412043286593109,1219
43,135,2.4132788272727272,11
42,604,,
41,74,21.026667333333332,3
40,2,0.0,1
39,3,,
38,1,,
37,6,,
36,27,2.0634378461538403,26
35,5,6.1446699999999055,3
34,8,,
33,19,20.821592142857124,14
32,13,0.7337227800000002,11
31,51,1.1133137780000015,50
30,10,15.71404065000004,4
29,10,41.65629467777773,9
28,4,,
27,13,,
26,6,,
25,54,,
24,13,,
23,3,,
19,1,,
16,1,,
