Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,53,,
55,148,174.1420352068,145
54,71,82.01820853527586,58
53,36,70.653080932,31
52,25,134.3820452747826,23
51,116,107.03806981217544,114
50,86,459.51162094874667,75
49,134,338.0550393379764,127
48,148,159.76753424771277,133
47,208,277.91122352719583,192
46,176,62.9040964023281,153
45,56,174.54059556958947,38
44,1184,15.463656845030483,1181
43,173,3.7574929939999997,11
42,615,,
41,64,157.98264049,4
40,1,,
39,3,,
37,8,12.736755425714284,7
36,27,,
35,2,344.8433878,1
34,14,44.00917079,12
33,16,356.30831914948266,15
32,13,40.49744230133334,12
31,50,,
30,11,524.2097705408,5
29,7,,
28,5,204.80683678133332,3
27,12,686.4031078338909,11
26,8,284.6722044531733,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
