Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,51,350.2511295396938,49
55,147,234.00013771213375,140
54,71,232.81388028602402,53
53,40,217.62289100195684,30
52,25,234.6500632564938,22
51,118,262.60523179218677,115
50,87,507.26198539903226,77
49,133,545.1602950133795,128
48,148,401.3961287216949,134
47,207,519.5396661299429,192
46,176,379.9824286212261,153
45,50,488.84538063135744,32
44,1223,327.4548723130086,1214
43,139,165.5056082663856,10
42,609,170.51925396709336,608
41,71,144.4616433722436,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,709.9417163018862,3
34,9,,
33,18,458.6824402681499,14
32,13,193.1400453877903,11
31,53,140.5759644441366,52
30,9,1356.1711559092234,5
29,8,,
28,4,114.67174165211546,3
27,11,956.603661311,10
26,8,107.68064252995461,5
25,62,389.99695260989506,61
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
