Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,48,,
55,150,216.2827759890968,142
54,77,160.91215904074247,61
53,34,160.7961734870086,32
52,25,273.0216348367252,24
51,111,237.86427128226538,110
50,86,543.6097792866594,71
49,141,419.9260456208854,130
48,142,229.36746502221675,130
47,216,243.16981349177115,197
46,163,167.49140913096076,145
45,65,189.1809979701098,39
44,1210,120.96791687385098,1208
43,146,66.3266017338786,11
42,604,,
41,73,329.6020583711679,2
40,3,81.78439915122377,1
39,3,,
38,1,,
37,7,,
36,26,,
35,5,281.7176708289783,3
34,11,,
33,16,315.4527648631521,14
32,12,238.26657718110948,10
31,53,72.62980898895543,51
30,10,423.9205559474822,5
29,8,,
28,5,325.8881158237411,4
27,13,,
26,4,,
25,63,442.88978531498805,61
24,6,,
23,3,,
18,1,,
16,1,,
