Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,49,807.2849802443678,48
55,151,103.22150444442443,143
54,70,90.41424238947258,55
53,36,133.39532072263722,28
52,27,157.36839340312795,22
51,112,72.01558950776574,109
50,90,345.0476235720254,74
49,137,245.22989635829603,129
48,143,158.16951827360816,130
47,210,158.34867693124923,191
46,180,94.27889613916707,156
45,53,117.64346574354269,38
44,1218,50.86528729069906,1215
43,138,32.60269936989752,10
42,604,30.150723815878933,603
41,76,254.48028955375082,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,74.91844989566705,25
35,6,382.67665798306126,3
34,12,,
33,13,189.1262221343243,12
32,15,83.10507258541845,11
31,54,68.07362687979033,53
30,8,522.428665989616,5
29,8,,
28,5,227.00923480146483,4
27,11,,
26,8,177.90363828979096,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
