Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,365.58122449549023,51
55,141,476.37157224431485,136
54,78,511.99015529892597,56
53,34,496.5241758619987,27
52,26,450.2776507970953,20
51,114,494.5914475734907,109
50,88,616.2294828287288,72
49,136,530.7241678269074,126
48,149,404.9756077682225,133
47,220,364.0208386166171,204
46,168,380.4532254467271,157
45,53,382.72622082392274,39
44,1219,296.88487490224253,1217
43,136,328.83892547862933,10
42,601,309.7235898556017,600
41,79,480.4926650738321,4
40,1,,
39,2,,
38,1,,
37,8,114.60789993459527,7
36,26,,
35,4,346.1697929428894,2
34,13,371.04326658359736,12
33,15,498.7490737058931,14
32,13,273.2880252132542,11
31,49,361.76346639756827,48
30,13,462.66141843043,5
29,9,,
28,4,,
27,11,,
26,8,525.6710655553037,6
25,58,,
24,9,,
23,2,,
22,1,,
19,1,,
16,1,,
