Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,50,97.61530612244898,49
55,161,97.2736888888889,18
54,63,76.69374999999998,8
53,34,25.333333333333385,3
52,27,86.70000000000003,1
51,124,145.00000000000006,1
50,79,165.501363,54
49,136,135.84504950495048,101
48,149,131.44280002040816,98
47,225,152.3847142857143,21
46,168,112.72200000000001,25
45,44,134.715,4
44,1343,289.0,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,6,61.525,3
36,29,,
35,2,,
34,13,122.2425,8
33,16,140.0685714285714,14
32,11,251.4,1
31,53,130.0,22
30,9,200.00250000000003,4
29,10,144.35500000000002,2
28,4,,
27,13,35.50000000000006,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
