Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,54,85.94037735849058,53
55,159,74.96998666666667,20
54,63,88.46330112633183,10
53,33,49.617144559949026,4
52,26,112.66464735329619,1
51,123,,
50,80,102.9996288539192,54
49,129,109.69980247412835,94
48,150,108.0452056297491,92
47,230,112.25340123700296,20
46,170,116.84790143171477,26
45,43,139.535,4
44,1343,215.5194281454083,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,7,91.906,4
36,28,,
35,3,,
34,13,97.11309831343655,9
33,15,124.85267249227611,14
32,12,66.0,2
31,54,70.68095240279274,24
30,7,48.26155378201003,4
29,9,194.94301280491868,1
28,5,,
27,13,63.41654032148736,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
