Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
58,67,128.4959366094917,65
57,181,118.6544980393493,25
56,82,106.45329686018717,12
55,51,110.65929760963189,5
54,31,0.17410739639308304,1
53,153,97.00323692335223,2
52,135,412654.9337704368,108
51,210,163.11509530973294,163
50,196,159.92615251064063,128
49,288,80.61918380682967,31
48,185,112.25524317748275,32
47,52,209.3517943933369,5
46,1375,329.5556439327483,1
45,12,,
44,677,78.66994364519586,1
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,197.98792542847912,7
38.0,32.0,,
37,2,,
36,18,168.277066999577,10
35,16,207.72389134532494,10
34,20,116.28225913597866,3
33,55,101.44532820861947,25
32,13,114.80848197227586,6
31,16,230.4157245659032,2
30,12,,
29,18,177.8579716889341,1
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
