Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,109.31996630410893,46
55,166,702.753065633201,20
54,62,181.1410379639878,9
53,35,395.56057902898124,5
52,25,515.7910838695208,1
51,125,767.7169211174072,2
50,77,6017.517873424256,53
49,137,1588.691138106867,101
48,144,1165.9644415986886,93
47,226,749.5107998685529,17
46,173,512.8897541981202,26
45,42,397.9270941180045,3
44,1344,511.739043730837,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,417.8956943398502,4
36,28,,
35,3,,
34,12,514.4948543367437,8
33,17,709.0644615961472,15
32,12,507.88565532323025,3
31,53,309.95702215929475,24
30,7,468.272548376412,4
29,10,149.25059974734853,2
28,4,,
27,13,753.4578210255418,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
