Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,51,86.61562987450658,50
55,162,121.95009992661885,20
54,62,133.45755802894723,9
53,35,82.65077537984419,5
52,25,529.4748943512651,1
51,124,438.69541270472797,1
50,76,166.6426631109911,51
49,137,152.66872452667735,99
48,151,180.71132644703448,98
47,223,134.3912142035442,19
46,170,209.40358641632486,25
45,43,238.54665601640107,3
44,1344,254.22369071924751,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,137.0848619054863,3
36,29,,
35,3,,
34,12,123.23639154138482,8
33,15,134.05066957368453,13
32,14,142.87400019150482,3
31,50,127.75517749941383,21
30,9,118.79213032572184,3
29,11,142.85068373889396,2
28,4,,
27,13,35.485905403134296,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
