Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,46,96.77730724987204,45
55,166,82.00833921670602,19
54,65,105.92178643239849,11
53,33,59.315539743245175,5
52,25,202.3855309920969,1
51,125,159.81309410264961,2
50,74,101.90193686921396,50
49,136,114.91401248169319,97
48,152,112.60770543493464,97
47,224,102.60637797708542,19
46,170,114.81583952239968,25
45,44,137.7033744157926,4
44,1343,194.23594288505473,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,4,128.1831951738924,1
36,31,,
35,2,,
34,14,110.72995148534835,9
33,16,96.00476837279702,15
32,12,46.99557167610404,3
31,55,72.66771568080655,26
30,6,61.764935269675746,5
29,8,29.661017322330643,1
28,5,,
27,13,65.59411137111115,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
