Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,47,85.1080234510148,46
55,166,84.63350658601372,20
54,62,101.34735868113113,9
53,35,86.00187012250173,5
52,25,214.8120319163093,1
51,125,96.83464780382843,2
50,77,112.5472555611702,53
49,129,116.27194819390493,93
48,160,135.36359567297703,101
47,220,111.61571106994835,19
46,169,108.35574058076207,24
45,45,145.69467227223316,4
44,1343,248.92705021681158,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,101.28772491581499,3
36,29,,
35,3,,
34,12,127.69548786912696,8
33,15,120.03750177380338,13
32,13,76.22209792101717,2
31,54,93.85355048007565,24
30,8,110.40356802115103,5
29,9,158.89324036102948,2
28,4,,
27,13,101.5026140769603,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
