Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,50,94.48707188263799,49
55,164,91.21975652306705,21
54,59,131.96690598049855,7
53,37,57.44130977104335,5
52,25,121.0296359523736,1
51,125,97.98392516533804,2
50,75,108.39659697235565,51
49,137,110.03463539433547,99
48,151,119.56706778532568,98
47,221,108.59638332257325,17
46,170,93.16815247853165,23
45,45,147.95591323430534,3
44,1343,,
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,7,89.50809872910479,4
36,28,,
35,3,,
34,13,132.59080502312966,9
33,16,98.96587881576336,15
32,12,47.06630866464885,3
31,52,86.89834551606012,23
30,8,95.07111261735069,4
29,10,158.50708850928538,2
28,4,,
27,13,49.54624913100477,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
