Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,52,,
55,147,0.10298419820135038,143
54,73,0.07915259407694093,58
53,34,0.06134068066842866,29
52,27,0.051376967044263706,23
51,111,0.05235003630469073,109
50,89,0.9054699266054381,73
49,134,0.5746341810903748,125
48,148,0.425357565242818,131
47,208,0.4984534750654634,190
46,180,0.2916449261200045,155
45,55,0.42722590048455156,39
44,1210,0.231250704398535,1208
43,145,0.27817766993052145,10
42,608,0.1354535811710159,607
41,72,1.0140425499999999,4
40,1,,
39,3,,
37,7,0.10799546538954384,4
36,29,,
35,2,,
34,14,0.14522610251498327,13
33,15,,
32,12,0.6176024163199139,9
31,56,0.46318209692307694,26
30,5,0.32646125,4
29,8,0.351155217486011,7
28,5,0.7373181661660952,3
27,14,0.5926659294458001,13
26,5,,
25,64,1.315014071955288,63
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
