Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,50,,
55,148,3.946605855109798e-15,142
54,76,0.004958472116685493,60
53,32,0.0008206774827618791,29
52,29,0.005180363079996281,25
51,111,,
50,87,0.04458580978656223,73
49,141,0.050348218281075385,132
48,145,0.13056981492551195,135
47,206,0.41601190047662856,192
46,174,2.7043229951226877,151
45,55,0.22476681919172312,35
44,1209,0.0789150905465044,1203
43,151,0.1534327000379599,11
42,605,,
41,73,0.2763422370379338,3
40,2,0.28295679161747433,1
39,2,,
38,2,0.06603353098790965,1
37,7,0.178183839408741,5
36,28,,
35,3,,
34,12,,
33,15,0.34137880993259306,14
32,14,0.10139279819957718,10
31,55,0.19182387667719877,26
30,6,0.34897369777274395,5
29,9,,
28,3,,
27,13,0.311812037329794,12
26,6,0.5183425080001625,5
25,59,0.4234847125462689,58
24,9,,
23,3,,
19,1,,
16,1,,
