Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,52,,
55,144,0.14462921445269214,140
54,75,0.20176284050945142,57
53,32,0.13975251323221968,26
52,29,0.15653723567645436,22
51,113,0.11601704055398336,110
50,88,0.3864414046766388,73
49,136,0.26323138036527377,127
48,150,0.16557938759598406,135
47,200,0.16328712813016608,186
46,188,0.08611143117260008,159
45,51,0.15200611171586087,39
44,1215,0.08687840004323097,1213
43,141,0.06530175880516174,11
42,608,,
41,70,0.5777709254230765,3
40,2,0.07650745183666158,1
39,3,,
38,1,,
37,7,0.2559680309341639,5
36,28,,
35,3,,
34,11,,
33,17,0.22897356324109755,15
32,13,0.16318358851399054,10
31,52,0.13471038254848267,23
30,9,0.10122889335304923,5
29,9,,
28,3,,
27,14,0.19629967148955663,13
26,5,,
25,56,0.335475101708145,55
24,12,,
23,3,,
19,1,,
16,1,,
