Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,52,0.45885039418518303,51
55,146,0.08229690575298572,141
54,76,0.05938599113822004,59
53,34,0.07082286723673915,30
52,26,0.036716141157218864,23
51,113,0.05147589179663597,111
50,85,0.18945586576718548,71
49,140,0.12520051362791107,129
48,145,0.08568103089118907,132
47,205,0.06113168185666664,188
46,179,0.03520277074079036,152
45,56,0.050850664042575544,37
44,1231,0.03800341865427606,1227
43,125,0.03193493375451264,9
42,600,0.019905490496746534,598
41,80,0.0197962076426693,3
40,2,0.00948994041475074,1
39,3,,
38,1,,
37,7,0.24884506870505424,5
36,28,,
35,2,,
34,12,0.06212199499801566,11
33,14,0.09792123374890274,12
32,15,0.08485607149595985,9
31,55,0.07711727376523407,25
30,7,0.029393558983754883,5
29,9,,
28,4,,
27,13,,
26,5,,
25,60,0.2074579984599969,59
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
