Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,51,0.0980965302,50
55,153,0.4252484278988102,147
54,67,0.3521203436524711,56
53,35,0.3830079471290734,28
52,27,0.3721273424583326,22
51,113,0.3708062440234266,110
50,89,0.520338587083545,74
49,132,0.3139877358308051,124
48,151,0.3047293147112461,133
47,205,0.28962409236204856,189
46,184,0.33119213705304024,158
45,52,0.3738190109188882,39
44,1195,0.33067073905539296,1193
43,161,0.3330447339519859,11
42,614,,
41,65,0.42010450475249805,4
40,1,,
39,3,,
37,8,0.2790468217829297,5
36,28,,
35,3,,
34,12,,
33,17,0.3066231553018636,16
32,11,0.29887851713531444,9
31,56,0.2127172975541186,26
30,6,0.19063643900639052,5
29,8,,
28,5,0.38593474569957725,4
27,11,,
26,8,0.91939087654241,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
