Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,52,40.87143725647059,51
55,147,15.039336093971832,142
54,75,13.39552203759322,59
53,35,8.012372807999999,31
52,25,5.534883313147826,23
51,116,5.146446321259649,114
50,83,576.4669819419445,72
49,139,148.14808281337986,129
48,148,95.77176613098074,135
47,215,88.27320950546866,201
46,164,19.690824906382403,150
45,54,27.128402948484844,33
44,1201,16.613148265722717,1193
43,161,38.72357681490909,11
42,612,,
41,67,11.931269150000043,4
40,1,,
39,3,,
38,1,,
37,6,,
36,29,29.843095128914285,28
35,2,,
34,13,55.068857949999995,12
33,16,347.7783520160533,15
32,13,320.05873887890914,11
31,51,,
30,10,81.49412387599996,5
29,7,,
28,6,431.0400685,4
27,11,220.95993811904003,10
26,6,1636.7623917168,3
25,66,27.020051180080003,16
24,3,,
23,3,,
19,1,,
16,1,,
