Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
58,65,37.22270507930463,64
57,173,16.37879923330464,166
56,87,61.62436911940419,74
55,52,22.230150984879277,45
54,34,10.583062399051315,28
53,134,9.648191608730833,130
52,156,1860.43498481246,135
51,203,912.0167015495607,190
50,206,464.3234775589499,181
49,251,586.8154707169018,231
48,199,118.52829468210788,164
47,70,147.2928169484457,44
46,1238,5943.193554455832,1235
45,150,942.2431356374848,11
44,618,37.73457297271721,617
43,64,550.8992024060824,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,8,,
38,30,25.07556135767347,28
37,7,688.8523589252693,3
36,17,34.1181119150533,16
35,20,16411.31820154116,18
34,14,635.4959058542571,10
33,60,501.3089691351866,58
32,10,1205.532832007134,6
31,14,79371.97555658812,7
30,14,2436.644490622393,6
29,18,789.7037726544461,13
28,12,2082.6724068674257,5
27,79,8.848069413165499,15
26,7,760.0014905000309,1
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
