Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,,
55,145,13.70138769138037,139
54,76,255.58639988173996,57
53,38,58.05657007489578,32
52,23,173.97465015181388,22
51,117,979.1469489879822,114
50,85,394463520.40829664,74
49,137,1346.541858470991,129
48,146,626.5896133714317,133
47,214,3092.8771623284365,198
46,167,388.44212066575426,150
45,53,473.3949142951678,32
44,1215,464.41165243252743,1206
43,147,226.74535868825186,10
42,609,249.88882657028995,608
41,71,532.1720606255069,4
40,1,,
39,2,,
38,2,243.88989289149893,1
37,7,,
36,26,,
35,5,432.79139465787085,3
34,12,,
33,16,993.6914084819797,15
32,13,909.1803724776412,11
31,50,,
30,11,420.0433939907627,5
29,8,,
28,4,1625.1019231638113,3
27,13,567.2741406252345,11
26,5,1508.227264495485,3
25,68,278.91943976817197,18
24,1,,
23,3,,
19,1,,
16,1,,
