Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,51,302.16902197985604,50
55,146,230.04871302608313,140
54,75,161.63180035702578,57
53,36,150.96559176274295,30
52,26,141.49314917222375,23
51,114,194.13668588811828,112
50,88,579.7326074221359,75
49,135,207.75459905262403,128
48,145,173.93135046287733,131
47,215,132.94900506605669,197
46,164,146.0073882250331,146
45,62,180.94428072587056,37
44,1209,91.45455414231452,1205
43,148,82.57329927163671,10
42,615,87.89284429157325,614
41,65,232.6942136169409,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,145.5018586072411,25
35,6,311.6612169121641,3
34,12,,
33,15,209.3859271354703,14
32,13,527.196939599683,10
31,53,79.87587100749991,52
30,9,146.34443194575007,5
29,8,,
28,5,739.3025697569751,4
27,12,316.68345161198454,11
26,6,885.7546150913814,4
25,66,99.05394631516013,17
24,2,,
23,3,,
19,1,,
16,1,,
