Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,54,39.263756792307696,52
55,145,517.6456636276597,141
54,76,508.77322375101704,59
53,33,509.68792226896556,29
52,27,517.4759399173913,23
51,107,515.5119516282857,105
50,97,672.9892362994805,77
49,133,395.3942903096483,128
48,149,426.16493356870706,135
47,208,430.37800830738536,194
46,180,461.0647864140178,159
45,49,439.3110154329626,37
44,1214,440.53477495336335,1210
43,144,408.805480331103,11
42,608,,
41,70,420.73791470370156,3
40,2,492.14359790920577,1
39,3,,
38,1,,
37,6,,
36,27,411.90678337323493,26
35,5,195.5902597534798,3
34,12,,
33,13,455.133492676457,12
32,16,547.6567688924863,11
31,50,,
30,11,338.8618755240813,5
29,7,,
28,3,403.2317233671572,1
27,14,451.88321310855235,10
26,8,1137.6131082493741,5
25,60,478.397148737511,12
24,7,,
23,3,,
19,1,,
16,1,,
