Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,52,,
55,145,516.0669791624114,141
54,76,520.2030940189738,59
53,35,521.7238658446846,31
52,23,527.654777464087,21
51,122,526.5912314901194,118
50,82,662.1792094011744,75
49,137,430.34377571458566,130
48,146,460.34178687877386,134
47,210,476.10374647990886,195
46,172,426.5887219403895,152
45,57,417.63909786539693,38
44,1203,416.0233432938546,1200
43,154,394.0301652524244,11
42,596,,
41,83,238.5101508845402,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,357.68690665184016,3
34,13,,
33,15,,
32,12,494.3671383709917,10
31,51,326.8236185504121,50
30,11,237.0288959558312,5
29,8,,
28,5,731.2962060900242,4
27,10,312.0480130171521,9
26,9,699.1446032276588,5
25,64,414.3161253303816,16
24,3,,
23,3,,
19,1,,
16,1,,
