Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,51,,
55,147,4.258521242464789,142
54,76,0.8711659716666663,60
53,33,0.31439726266666707,30
52,27,0.9310896124999996,24
51,113,1.6573645366071432,112
50,91,0.3131277100000017,20
49,145,0.12746185499999987,2
48,147,0.21890190000000012,11
47,218,,
46,171,22.211659999999995,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,0.586633733333333,3
38,1,,
37,7,,
36,26,,
35,5,,
34,11,0.34728591499999995,2
33,18,0.13340300000000127,1
32,10,0.44762066799999983,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
