Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,52,,
55,147,3.1749065729769064,143
54,70,4.184242969734073,55
53,36,1.9505240299681657,28
52,28,1.5166191281480832,23
51,113,3.242235282374666,111
50,92,7.993886576605998,20
49,146,6.921808018409383,3
48,149,3.508931849982234,14
47,215,,
46,171,548.7043922121063,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,13,19.803522387954434,4
33,16,17.452946629083172,1
32,11,36.24530063675014,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
