Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,51,29.235582354761167,50
55,149,5.738452687522665,143
54,73,3.4890877637479694,58
53,34,2.003545639726146,29
52,26,4.641163277916644,22
51,118,2.474928817109204,115
50,88,3.2112239793607653,20
49,145,4.706215723793026,2
48,147,4.6304647274628365,11
47,218,,
46,171,21.20360891682094,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,5.173261490329111,1
37,6,,
36,28,4.020988764404847,27
35,4,,
34,13,8.062048592188999,4
33,16,0.5613173556906297,1
32,11,1.682462149126387,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
