Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,54,,
55,139,6.810184823317308,137
54,81,2.8817326799977137,60
53,30,2.852470270218722,27
52,29,5.042264219813386,23
51,115,3.984042600991286,113
50,92,3.5411196403837306,22
49,144,3.4288767050038214,3
48,149,3.9649254519213137,14
47,215,,
46,171,27.665707789921328,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,,
36,25,6.207957867759874,23
35,8,,
34,13,7.983540146042975,4
33,16,1.060293121976077,1
32,11,3.7617565140155187,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
