Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,,
55,149,14.921398482263898,143
54,70,9.79478392823667,55
53,36,11.165618026045394,28
52,29,13.931047931684882,24
51,119,11.592999568310288,118
50,86,12.00676621154596,21
49,145,19.49153935806201,3
48,146,11.575118474840927,11
47,218,,
46,171,32.840074478547706,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,24,11.862475967590386,23
35,8,,
34,12,13.388372380047079,3
33,17,15.911138898745843,1
32,11,14.956700447687453,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
