Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,53,27.431759176238412,52
55,150,16.38680474947297,146
54,73,11.30872848705347,61
53,30,11.558569647788515,28
52,27,16.72685437283322,22
51,113,11.764575917621224,110
50,93,11.792474462123211,20
49,146,17.62125335914156,3
48,149,6.879755631594673,14
47,215,,
46,171,56.618259388672755,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,15.99761647953638,1
37,7,,
36,22,,
35,9,,
34,12,1.7018881670049884,3
33,17,3.2946080399363673,1
32,10,7.135015590897646,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
