Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,51,,
55,145,1.826509357142857,140
54,73,1.3680357890909092,55
53,38,1.274415576,30
52,24,1.6140606400000002,21
51,118,1.083790666666667,114
50,91,1.0364999168,25
49,140,0.5671434944000001,25
48,148,0.608591136,38
47,214,0.48039662055225796,62
46,164,0.6289603104893023,129
45,52,0.4162139246918619,29
44,1206,0.43963526925502827,1202
43,150,0.5695794249541819,11
42,607,0.33473894233549306,606
41,72,,
40,1,,
39,3,,
37,8,1.0319221371428577,7
36,25,,
35,6,,
34,13,0.7913138999999995,4
33,16,0.7044363999999987,1
32,12,0.8237220100000002,8
31,53,0.24780308615384622,26
30,8,,
29,8,0.5683918399999999,5
28,5,0.5066919999999999,2
27,13,0.6373045142857141,7
26,5,,
25,65,0.19964147692307682,13
24,3,,
23,3,,
19,1,,
16,1,,
