Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,49,4.711656416666666,48
55,151,4.584334871276871,143
54,70,4.805509487151187,55
53,39,4.995616175526257,31
52,24,4.314591175902546,22
51,119,5.301829505860523,116
50,90,4.912500885856372,26
49,139,7.637520160338588,25
48,148,7.54568155765755,38
47,211,7.255232989886881,59
46,161,6.368731955041477,123
45,56,6.466689995937609,27
44,1211,6.134837046319735,1205
43,144,2.4080016696180917,8
42,610,3.4915146988883663,606
41,72,,
39,4,1.5720003784339442,3
38,1,,
37,7,,
36,26,,
35,5,,
34,13,1.018940961017683,4
33,16,9.346909428989415,1
32,11,3.952696651333997,7
31,56,3.059855192789364,28
30,6,,
29,9,2.2269276640975555,6
28,4,2.6275203937782843,2
27,13,2.4834566270308622,7
26,6,3.3111177254095177,1
25,67,3.6009245348958796,16
23,3,,
19,1,,
16,1,,
