Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,52,2.0215986983155907,51
55,142,0.15600407399152674,137
54,75,0.4513294346991349,54
53,38,0.12749152787503168,29
52,28,0.10529702295107567,24
51,113,0.13977742783381678,112
50,90,23771134.600472223,22
49,143,20.384619059792787,25
48,149,24.654629514326768,39
47,214,5.496453476199809,63
46,160,1.4793918514928928,126
45,56,1.7111299504594335,30
44,1218,4.777037969785775,1215
43,136,0.9838392800719249,10
42,609,0.6811152608526814,607
41,71,,
40,1,,
39,3,,
38,1,,
37,5,,
36,24,3.164428175616566,22
35,9,,
34,13,1.5287330319713655,4
33,16,2.546119035262148,1
32,11,1.6130109312255427,7
31,52,0.422868919046184,24
30,10,,
29,9,0.602270253559105,6
28,3,1.3128357284981784,1
27,13,1.3080851495236419,6
26,7,0.012497950501221489,1
25,66,1.6296747829772515,15
24,1,,
23,3,,
19,1,,
16,1,,
